robot_name,item_picked,start_time,end_time,time taken
/robot_namespace_2,1,1663055902.2124724,1663055956.2158072,54.003334760665894
/robot_namespace_3,1,1663055939.5608613,1663055984.5607002,44.99983882904053
/robot_namespace_0,0,1663055933.0194955,1663055985.0201142,52.00061869621277
/robot_namespace_1,2,1663055952.10065,1663056001.1021879,49.001537799835205
/robot_namespace_4,1,1663055939.1065571,1663056001.1066365,62.00007939338684
/robot_namespace_5,2,1663055949.2641826,1663056007.2693334,58.00515079498291
/robot_namespace_0,0,1663056035.0191438,1663056081.0194485,46.00030469894409
/robot_namespace_2,1,1663056063.2121098,1663056110.2162242,47.004114389419556
/robot_namespace_5,1,1663056063.264118,1663056119.268095,56.00397706031799
/robot_namespace_1,1,1663056060.1001327,1663056126.103111,66.00297832489014
/robot_namespace_3,1,1663056045.5601277,1663056135.560211,90.0000832080841
/robot_namespace_4,2,1663056054.1068738,1663056138.1069345,84.00006079673767
/robot_namespace_0,0,1663056134.018672,1663056178.019466,44.00079393386841
/robot_namespace_4,2,1663056190.10557,1663056238.1099381,48.00436806678772
/robot_namespace_2,2,1663056192.211964,1663056276.2176585,84.00569462776184
/robot_namespace_5,2,1663056209.263985,1663056299.2673988,90.00341391563416
/robot_namespace_3,0,1663056183.5592008,1663056299.5629954,116.00379467010498
/robot_namespace_1,0,1663056210.1002736,1663056306.101814,96.00154042243958
/robot_namespace_0,1,1663056228.0184479,1663056425.0247157,197.006267786026
/robot_namespace_2,1,1663056375.2133625,1663056437.2175078,62.00414538383484
/robot_namespace_5,0,1663056407.2641118,1663056462.2665355,55.00242376327515
/robot_namespace_3,1,1663056375.5603662,1663056465.5651987,90.00483250617981
/robot_namespace_1,2,1663056365.100707,1663056466.1045072,101.0038001537323
/robot_namespace_4,2,1663056449.1058993,1663056550.1068869,101.00098752975464
/robot_namespace_5,1,1663056509.2632258,1663056553.2649322,44.00170636177063
/robot_namespace_0,0,1663056526.0194054,1663056570.0228138,44.003408432006836
/robot_namespace_2,2,1663056519.2129948,1663056573.2155454,54.00255060195923
/robot_namespace_1,1,1663056565.101183,1663056613.102372,48.00118899345398
/robot_namespace_3,2,1663056518.5601242,1663056639.561022,121.0008978843689
/robot_namespace_5,2,1663056602.263485,1663056712.2644906,110.00100564956665
