robot_name,item_picked,start_time,end_time,time taken
/robot_namespace_5,2,1662993788.4992979,1662993858.4928498,69.9935519695282
/robot_namespace_4,0,1662993819.654573,1662993879.6556714,60.00109839439392
/robot_namespace_0,0,1662993828.5346797,1662993886.5385492,58.00386953353882
/robot_namespace_1,0,1662993828.1133332,1662993896.1148002,68.00146698951721
/robot_namespace_2,2,1662993850.2868738,1662993905.2864232,54.9995493888855
/robot_namespace_3,2,1662993844.6681771,1662993914.6692064,70.00102925300598
/robot_namespace_5,1,1662993919.492751,1662993955.4932094,36.00045847892761
/robot_namespace_1,1,1662993946.1141636,1662993993.1146278,47.00046420097351
/robot_namespace_4,1,1662993936.6561444,1662993999.6534283,62.997283935546875
/robot_namespace_3,1,1662993988.6688495,1662994048.6686008,59.999751329422
/robot_namespace_5,1,1662994013.4918773,1662994104.492776,91.00089859962463
/robot_namespace_2,1,1662993983.2869413,1662994110.2868798,126.99993848800659
/robot_namespace_1,2,1662994112.113535,1662994167.113656,55.000121116638184
/robot_namespace_0,1,1662993958.5328612,1662994177.5350049,219.0021436214447
/robot_namespace_4,2,1662994123.654764,1662994177.662321,54.00755715370178
/robot_namespace_3,0,1662994160.6680708,1662994216.6688418,56.000771045684814
/robot_namespace_5,0,1662994179.491958,1662994240.4940379,61.00207996368408
/robot_namespace_2,1,1662994178.2856054,1662994285.288,107.0023946762085
/robot_namespace_4,1,1662994260.6529992,1662994326.6552205,66.00222134590149
/robot_namespace_1,0,1662994264.1140165,1662994368.1160524,104.00203585624695
/robot_namespace_5,0,1662994298.4927537,1662994398.4941397,100.00138592720032
/robot_namespace_0,1,1662994297.5382323,1662994423.533881,125.99564862251282
/robot_namespace_3,2,1662994394.6691406,1662994442.6704533,48.00131273269653
/robot_namespace_2,1,1662994406.2855785,1662994445.2881527,39.00257420539856
/robot_namespace_4,2,1662994410.6530645,1662994457.653279,47.00021457672119
/robot_namespace_1,0,1662994473.1134217,1662994518.113527,45.00010538101196
/robot_namespace_5,2,1662994463.4925134,1662994555.4942837,92.00177025794983
/robot_namespace_2,1,1662994498.2867355,1662994565.2859788,66.99924325942993
/robot_namespace_0,2,1662994493.5336785,1662994604.5335064,110.99982786178589
/robot_namespace_4,2,1662994522.6537893,1662994614.6535027,91.99971342086792
